x_grid,f_post_mean,f_post_var,ci95_lo,ci95_hi,f_true
-1.0,-1.1720639121991727,0.03538991731714268,-1.5407831907371077,-0.8033446336612378,-0.9999092042625951
-0.9899497487437185,-1.1623891593516074,0.032158927979583786,-1.5138742055859657,-0.810904113117249,-0.9799001102739581
-0.9798994974874372,-1.1519935089152702,0.029256799375726922,-1.487244042817593,-0.8167429750129473,-0.9600920166225286
-0.9698492462311558,-1.1408767248742717,0.026664466810185576,-1.4609301824372372,-0.8208232673113063,-0.9404848160448831
-0.9597989949748744,-1.1290404735384791,0.024361619332140542,-1.434961373161815,-0.8231195739151433,-0.9210783899423362
-0.949748743718593,-1.116488484160395,0.02232688726601975,-1.409355297099556,-0.8236216712212341,-0.9018726071836871
-0.9396984924623115,-1.1032267191485916,0.02053805679682085,-1.3841163754029062,-0.8223370628942771,-0.8828673227816479
-0.9296482412060302,-1.0892635543686864,0.018972311067665074,-1.3592339790406163,-0.8192931296967565,-0.8640623764296584
-0.9195979899497487,-1.0746099700461123,0.017606496527061376,-1.334681339209192,-0.8145386008830324,-0.8454575908843942
-0.9095477386934674,-1.0592797528086337,0.016417412388011168,-1.3104154361150562,-0.8081440695022113,-0.8270527701777489
-0.8994974874371859,-1.0432897188274304,0.015382122670725466,-1.2863781028606025,-0.8002013347942583,-0.808847697640359
-0.8894472361809045,-1.026660539830214,0.014478462077787626,-1.2625004429806965,-0.7908206366797316,-0.7908421337168859
-0.8793969849246231,-1.0094185151003707,0.013685906161964948,-1.2387125994370682,-0.7801244307636732,-0.7730358135511917
-0.8693467336683417,-0.9915958567933436,0.012986088029009754,-1.2149506323685344,-0.7682410812181528,-0.755428444317279
-0.8592964824120604,-0.9732303973171421,0.012363094223843851,-1.1911617231294689,-0.7552990715048153,-0.7380197022693562
-0.8492462311557789,-0.9543653098402941,0.011803686642960876,-1.1673090644037902,-0.741421555276798,-0.7208092294816189
-0.8391959798994975,-0.9350488476150216,0.011297453890355849,-1.1433762314731957,-0.7267214637568475,-0.7037966302453034
-0.8291457286432161,-0.9153341011772055,0.010836894361743362,-1.119370895359219,-0.7112973069951921,-0.6869814670872131
-0.8190954773869347,-0.895278772522691,0.010417433507485738,-1.0953277979198601,-0.6952297471255219,-0.6703632563702266
-0.8090452261306533,-0.8749449653925403,0.010037377418721887,-1.0713109224517057,-0.6785790083333749,-0.6539414634322499
-0.7989949748743719,-0.8543982274862266,0.009697688572849021,-1.047412839423916,-0.6613836155485373,-0.6377154972156018
-0.7889447236180904,-0.8337002861806261,0.00940062044560146,-1.0237356079074633,-0.6436649644537887,-0.6216847043339392
-0.778894472361809,-0.8129034249318647,0.009148121949593127,-1.0003692225632113,-0.6254376273005182,-0.6058483625184369
-0.7688442211055276,-0.7920513799320045,0.00894111214550565,-0.9773839901714724,-0.6067187696925366,-0.5902056733790486
-0.7587939698492463,-0.771180756225098,0.008778996398800476,-0.9548255017683123,-0.5875360106818837,-0.5747557544102075
-0.7487437185929648,-0.7503224232641227,0.008659363888695528,-0.9327116014376446,-0.5679332450906007,-0.5594976301632513
-0.7386934673366834,-0.7295028939947605,0.008577868556860083,-0.9110317893476318,-0.5479739986418892,-0.5444302225001193
-0.728643216080402,-0.7087456915201049,0.008528288867180283,-0.8897492122376859,-0.527742170802524,-0.5295523398344194
-0.7185929648241206,-0.688072707375981,0.008502755292320228,-0.8688050640002927,-0.5073403507516694,-0.5148626652567518
-0.7085427135678393,-0.6675055216651169,0.008492136336900137,-0.8481249861528503,-0.48688605717738354,-0.5003597434311459
-0.6984924623115578,-0.6470649266569316,0.008486954228354656,-0.8276292735353983,-0.46650057977846493,-0.4860419661385684
-0.6884422110552764,-0.6267671206898903,0.008478856048181773,-0.8072453005197386,-0.4462889408600419,-0.47190755633164877
-0.6783919597989949,-0.6066225465435525,0.00846105851253399,-0.7869112105847245,-0.4263338825023806,-0.45795455055198087
-0.6683417085427136,-0.5866358780378073,0.00842843287177827,-0.7665766119482351,-0.4066951441273794,-0.4441807795475845
-0.6582914572864322,-0.5668059996767818,0.008377570068463186,-0.7462029705960483,-0.38740902875751526,-0.4305838469132845
-0.6482412060301508,-0.5471259689297904,0.008306827804196303,-0.7257638979723107,-0.3684880398872701,-0.4171611055608997
-0.6381909547738693,-0.5275829610183197,0.008216358799388363,-0.705245461180088,-0.3499204608565514,-0.40390963180920486
-0.6281407035175879,-0.5081581960428724,0.00810812013942492,-0.6846465931901489,-0.33166979889559595,-0.3908261968656777
-0.6180904522613065,-0.4888268482676639,0.007985864329456306,-0.6639796284569586,-0.31367406807836934,-0.3779072354531135
-0.6080402010050251,-0.46955828042755854,0.007855071655297505,-0.6432708109801669,-0.29584574987495016,-0.3651488113143756
-0.5979899497487438,-0.4503188701689316,0.007722582697003694,-0.6225601941559742,-0.27807754618188896,-0.3525465793080064
-0.5879396984924623,-0.431074537339557,0.007596374887565271,-0.6019026198320756,-0.26024645484703834,-0.34009574378633867
-0.5778894472361809,-0.41179120487629434,0.007485646926482102,-0.5813696859190659,-0.24221272383352277,-0.3277910129264402
-0.5678391959798995,-0.3924351052737522,0.0074009238630480334,-0.5610512050752994,-0.22381900547220498,-0.3156265486630539
-0.5577889447236181,-0.3729730885488007,0.007354154260142797,-0.5410555653444636,-0.20489061175313775,-0.3035959118522005
-0.5477386934673367,-0.35337293271526227,0.007358792595313911,-0.5215084067656777,-0.18523745866484684,-0.29169200227495073
-0.5376884422110553,-0.33360365778845347,0.007429861248801093,-0.5025490778903143,-0.16465823768659255,-0.2799069930738904
