kernel,variant,ell,sigma_f2,sigma_y2,log_marginal_likelihood,boundary_hit_ell,boundary_hit_sf2,boundary_hit_sy2
Matern52,b2_noisy_inputs,0.7079489626523617,1.23170946526553,0.0026435280394411374,4.342454615037752,False,False,False
RBF,b2_noisy_inputs,0.29766677808787373,0.7629855841276257,0.00420231746126413,0.7102148065882474,False,False,False
