kernel,ell,sigma_f2,n_grid,n_samples,jitter,rmse_mean,rmse_std,corr_mean,corr_std,rmse_sample0,corr_sample0
RBF,0.7,1.0,100,8,1e-08,0.003561900564639335,0.00039041405539535845,0.9999879601511911,1.2346593057536658e-05,0.003258060654985567,0.9999928740423163
Matern52,0.7,1.0,100,8,1e-08,0.018289136860412968,0.0015257698691057012,0.9999258070363863,3.2121966701463913e-05,0.017571175632282922,0.9998894802502555
