kernel,variant,ell,sigma_f2,sigma_y2,log_marginal_likelihood
Matern52,a,1.0039547647746918,1.4103739696582203,0.1629750834620644,-16.262679450293135
RBF,a,0.7105351779755172,1.24168040271673,0.1629750834620644,-15.774523594583624
Matern52,b,0.10471071012347187,1.1228148678560146,0.0025,-24.923014336546185
RBF,b,0.07854060365658493,1.1228148678560146,0.0025,-26.2443226829343
Matern52,c,0.7122572929907888,1.3879077882414292,0.0025,11.119403640256667
RBF,c,0.36409178060846736,0.908355179039615,0.0025,10.021577409285527
